pl_insol,pl_rade,pl_orbsmax,pl_masse,pl_eqt
34.32,5.09,0.1189,16.42,2.6415686274509804
1210.0,10.68215861,0.05018,165.27077164,6.43921568627451
6.0,2.52,0.0534,5.4,1.7058823529411764
633.0,13.26022417,0.04036,252.35575516,5.470588235294118
1203.0,14.60530185,0.05448,397.28550875,6.427450980392157
1192.0,11.67975789,0.0888,4096.80816623,6.576470588235294
775.0,10.9175472,0.074,61.65871096,5.756862745098039
783.2,12.44196858,0.0555,734.18362017,5.772549019607843
1310.0,14.35870428,0.0492,308.29355479,6.56078431372549
42.5,8.7,0.01808,86.7,2.7215686274509805
115.0,12.34108775,0.0726,572.0911326,3.603921568627451
40.0,8.54124329,0.1515,88.99195396,2.814117647058824
1138.0,1.166,0.01189,1.42,6.341176470588235
226.0,6.25,0.06614,32.7,4.078431372549019
1053.0,13.34989601,0.0522,330.54154328,6.215686274509804
54.0,11.87031056,0.01648,166.85991368,2.9568627450980394
49.0,11.6,0.0199,343.0,2.8901960784313725
456.0,10.72699453,0.0557,81.99972901,5.043137254901961
62.0,9.86,0.0469,657.0,3.070588235294118
34.6,11.9,0.034,170.4,2.6470588235294117
198.0,9.86390302,0.0295,190.6970442,4.090196078431372
94.1,5.82,0.0296,61.5,3.4
554.0,16.6117094,0.0604,184.02264765,5.294117647058823
1004.0,15.07607904,0.0628,270.15414595,6.141176470588236
